model,features,target,train_period,test_period,MAE,RMSE,R2
Linear Regression,Year,Yearly averaged SIE,1978-2011,2012-2025,0.2083645120170348,0.2419211873045379,-0.02499090472636145
Linear Regression,"Year, Month",Monthly averaged SIE for each year,1978-2011,2012-2025,2.1808971714695016,2.610417471637942,0.4338773239433915
Linear Regression,"Year, Month, Lags",Monthly averaged SIE for each year,1980-2011,2012-2025,0.2840172055801048,0.38597079969389864,0.9876234524341628
Linear Regression,"Year, Month, Lags, Monthly Averaged Temperature Anomaly",Monthly averaged SIE for each year,1980-2011,2012-2025,0.2833555134830227,0.3843897256804391,0.9877976962929572

